Date,Open,High,Low,Close,Volume,Adj Close
4/01/2000,3152.5,3152.5,3122.399902,3124.100098,0,3124.100098
5/01/2000,3124.100098,3124.100098,3035.300049,3050.899902,0,3050.899902
6/01/2000,3050.899902,3075.399902,3026,3030.100098,0,3030.100098
7/01/2000,3030.100098,3048.300049,3016.199951,3044.5,0,3044.5
10/01/2000,3044.5,3111.5,3044.5,3103.100098,0,3103.100098
11/01/2000,3103.100098,3173.899902,3103.100098,3164.600098,0,3164.600098
12/01/2000,3164.600098,3164.600098,3095.5,3104.600098,0,3104.600098
13/01/2000,3104.600098,3105.899902,3089,3095.800049,0,3095.800049
14/01/2000,3095.800049,3131.600098,3095.800049,3131.600098,0,3131.600098
17/01/2000,3131.600098,3147.5,3131,3139.899902,0,3139.899902
18/01/2000,3139.899902,3157.100098,3127.199951,3151.199951,0,3151.199951
19/01/2000,3151.199951,3151.199951,3104.100098,3105.399902,0,3105.399902
20/01/2000,3105.399902,3139.5,3079.5,3137.100098,0,3137.100098
21/01/2000,3137.100098,3137.100098,3097.600098,3103.399902,0,3103.399902
24/01/2000,3103.399902,3115.399902,3096.399902,3096.600098,0,3096.600098
25/01/2000,3096.600098,3096.600098,3048.100098,3078.600098,0,3078.600098
26/01/2000,3096.600098,3096.600098,3048.100098,3078.600098,0,3078.600098
27/01/2000,3078.600098,3089.399902,3072,3083.399902,0,3083.399902
28/01/2000,3083.399902,3107.100098,3082,3092.100098,0,3092.100098
31/01/2000,3092.100098,3096,3069.399902,3096,0,3096
1/02/2000,3096,3108.699951,3077.800049,3084.5,0,3084.5
2/02/2000,3084.5,3124.199951,3084.5,3116.300049,0,3116.300049
3/02/2000,3116.300049,3135.5,3103,3135.100098,0,3135.100098
4/02/2000,3135.100098,3141.699951,3115.100098,3115.100098,0,3115.100098
7/02/2000,3115.100098,3138.300049,3113.399902,3130.399902,0,3130.399902
8/02/2000,3130.399902,3141.5,3120.5,3124,0,3124
9/02/2000,3124,3159.600098,3124,3134,0,3134
10/02/2000,3134,3175.300049,3120.5,3172.5,0,3172.5
11/02/2000,3172.5,3174.699951,3145.300049,3167.100098,0,3167.100098
14/02/2000,3167.100098,3167.100098,3128.600098,3135.300049,0,3135.300049
15/02/2000,3135.300049,3168.5,3135.300049,3158.100098,0,3158.100098
16/02/2000,3158.100098,3194.199951,3145.899902,3148.300049,0,3148.300049
17/02/2000,3145.5,3154.300049,3124.300049,3144.899902,0,3144.899902
18/02/2000,3144.899902,3157.199951,3114.300049,3120.100098,0,3120.100098
21/02/2000,3120.100098,3122,3083.5,3117.100098,0,3117.100098
22/02/2000,3117.100098,3123.199951,3097.399902,3101.199951,0,3101.199951
