SETTLEMENTDATE,TOTALDEMAND,RRP
2019-01-01,8297.107872340426,78.67914893617021
2019-01-02,8745.688125,91.86208333333333
2019-01-03,8612.550625000002,94.19625000000003
2019-01-04,9205.374583333334,104.18895833333333
2019-01-05,8584.935416666664,93.504375
2019-01-06,6937.700208333333,65.08729166666664
2019-01-07,7759.5216666666665,70.43854166666668
2019-01-08,8569.568125000002,91.51125000000002
2019-01-09,8540.904166666665,87.02958333333333
2019-01-10,8076.513124999998,80.58125000000001
2019-01-11,8302.971875000001,81.04249999999999
2019-01-12,8440.819999999998,87.501875
2019-01-13,7684.176041666663,67.60333333333334
2019-01-14,9135.772083333331,144.34562499999998
2019-01-15,9995.508541666664,184.26708333333332
2019-01-16,10313.686458333335,174.33854166666666
2019-01-17,10402.964375,162.3510416666667
2019-01-18,10497.618958333333,137.62083333333337
2019-01-19,8517.349375,81.85770833333332
2019-01-20,7796.730833333334,71.67979166666667
2019-01-21,8893.648541666667,106.97874999999999
2019-01-22,9758.676666666664,145.38729166666664
2019-01-23,9329.986874999999,121.9691666666667
2019-01-24,9003.792708333332,103.94083333333332
2019-01-25,10221.6125,149.575
2019-01-26,9716.517708333335,105.86708333333331
2019-01-27,8903.632500000002,90.26166666666666
2019-01-28,8437.267291666667,124.90854166666668
2019-01-29,9954.870833333332,331.96520833333335
2019-01-30,9931.694791666667,158.76166666666668
2019-01-31,9949.67333333333,152.00604166666665
2019-02-01,8033.3756250000015,81.931875
2019-02-02,7833.343333333333,74.20624999999997
2019-02-03,8397.154583333335,111.66895833333331
2019-02-04,9542.976250000005,138.67479166666666
2019-02-05,9082.881666666666,89.80083333333333
2019-02-06,9117.659375000001,113.46187500000002
2019-02-07,9290.471249999999,110.92583333333333
2019-02-08,9051.869375,100.8447916666667
2019-02-09,7854.823750000002,81.52770833333332
2019-02-10,7013.8533333333335,82.48208333333334
2019-02-11,8187.524583333333,91.91416666666669
2019-02-12,9004.533958333332,80.03208333333335
2019-02-13,8013.86145833333,93.79291666666666
2019-02-14,7869.508333333334,89.24416666666667
2019-02-15,7940.516875,87.50104166666667
2019-02-16,7529.742708333335,79.19687499999999
2019-02-17,7813.548333333332,85.675
2019-02-18,9091.185416666664,93.97499999999998
2019-02-19,8673.282291666666,101.37499999999999
2019-02-20,8118.354583333331,100.24979166666664
2019-02-21,8062.592291666669,92.39062500000001
2019-02-22,7732.076250000001,78.04291666666666
2019-02-23,7028.422291666669,67.9175
2019-02-24,6812.883750000001,51.87312500000001
2019-02-25,7733.4783333333335,72.36770833333334
2019-02-26,7968.171041666666,84.04541666666667
2019-02-27,8092.869999999998,77.12958333333334
2019-02-28,8395.015208333334,85.58041666666666
2019-03-01,8391.4375,91.4714583333333
2019-03-02,7745.053541666667,72.80479166666665
2019-03-03,7747.074583333332,77.21374999999999
2019-03-04,8821.610000000002,106.865
2019-03-05,8902.294375,90.48416666666662
2019-03-06,8571.779583333331,91.96166666666666
2019-03-07,7720.375208333334,87.56020833333334
2019-03-08,8219.434166666668,90.93041666666669
2019-03-09,7559.911875000002,81.55187500000001
2019-03-10,7706.6864583333345,72.744375
2019-03-11,8479.529583333335,86.36229166666669
2019-03-12,8805.031041666667,78.80166666666669
2019-03-13,8078.255208333332,82.70958333333333
2019-03-14,8287.615416666671,98.62208333333335
2019-03-15,7692.145833333335,97.35708333333332
2019-03-16,7161.891875,77.79770833333333
2019-03-17,7128.472291666665,84.31291666666665
2019-03-18,7658.253125,76.51395833333333
