Date,Close
31/08/1991,6.7869
30/09/1991,7.50763
31/10/1991,7.40753
30/11/1991,7.868
31/12/1991,7.32745
31/01/1992,7.44757
29/02/1992,7.35748
31/03/1992,7.56769
30/04/1992,7.68782
31/05/1992,7.16729
30/06/1992,7.20733
31/07/1992,6.86698
31/08/1992,6.15626
30/09/1992,5.86596
31/10/1992,6.06617
30/11/1992,6.06617
31/12/1992,6.00611
31/01/1993,6.73685
28/02/1993,7.80794
31/03/1993,8.18832
30/04/1993,8.34849
31/05/1993,8.69884
30/06/1993,8.9491
31/07/1993,9.60977
31/08/1993,9.20936
30/09/1993,10.1103
31/10/1993,9.42959
30/11/1993,9.55972
31/12/1993,9.76993
31/01/1994,9.22938
28/02/1994,8.33848
31/03/1994,8.23838
30/04/1994,8.08822
31/05/1994,7.77791
30/06/1994,8.02816
31/07/1994,7.65779
31/08/1994,7.44757
30/09/1994,7.45758
31/10/1994,7.36749
30/11/1994,7.95809
31/12/1994,8.2584
31/01/1995,9.01917
28/02/1995,8.95911
31/03/1995,9.41958
30/04/1995,9.17933
31/05/1995,9.3395
30/06/1995,9.3395
31/07/1995,9.82999
31/08/1995,10.2504
30/09/1995,10.0102
31/10/1995,10.4907
30/11/1995,10.821
31/12/1995,11.7119
31/01/1996,10.831
29/02/1996,10.0002
31/03/1996,10.4606
30/04/1996,10.145
31/05/1996,10.4036
30/06/1996,10.3738
31/07/1996,10.8413
31/08/1996,11.5574
30/09/1996,11.7861
31/10/1996,11.9154
30/11/1996,11.9751
31/12/1996,12.6912
31/01/1997,12.7509
28/02/1997,12.6813
31/03/1997,13.845
30/04/1997,14.0389
31/05/1997,15.9138
30/06/1997,16.560301
31/07/1997,14.959
31/08/1997,16.9482
30/09/1997,16.2619
31/10/1997,17.2565
30/11/1997,17.505199
31/12/1997,18.1516
31/01/1998,18.1516
28/02/1998,17.833401
31/03/1998,18.3008
30/04/1998,18.6887
31/05/1998,18.738501
30/06/1998,20.439301
31/07/1998,18.4998
31/08/1998,19.8524
30/09/1998,19.782801
31/10/1998,21.831699
30/11/1998,23.0252
31/12/1998,23.7931
31/01/1999,24.069599
28/02/1999,25.7495
31/03/1999,27.366699
30/04/1999,25.0145
31/05/1999,23.920401
30/06/1999,23.99
31/07/1999,24.5231
31/08/1999,24.019899
30/09/1999,25.561501
31/10/1999,25.8002
30/11/1999,26.0886
31/12/1999,25.9594
31/01/2000,24.8573
29/02/2000,22.418501
31/03/2000,25.939501
30/04/2000,27.7307
31/05/2000,27.5408
30/06/2000,27.6462
31/07/2000,27.5338
31/08/2000,27.4513
30/09/2000,28.5543
31/10/2000,31.5222
30/11/2000,30.737499
31/12/2000,31.8276
31/01/2001,30.0273
28/02/2001,28.4459
31/03/2001,28.684601
30/04/2001,31.0319
31/05/2001,33.966
30/06/2001,29.341
31/07/2001,29.187901
31/08/2001,25.9594
30/09/2001,29.6394
31/10/2001,28.4459
30/11/2001,29.7787
31/12/2001,32.563599
